ProteinID,Gene,Length
NP_003439,ZNF169,604
NP_003440,TRIM26,539
NP_003441,ZNF174,407
NP_003443,ZNF189,626
NP_003444,ZMYM2,1377
NP_003445,ZNF200,395
NP_003446,ZNF202,648
NP_003447,ZNF205,554
NP_003449,BSN,3926
NP_003450,SLC30A3,388
NP_003451,ZP2,745
NP_003452,ZYX,572
NP_003453,DNALI1,258
NP_003454,PTP4A1,173
NP_003456,CHIT1,466
NP_003457,PAX8,450
NP_003459,FZD5,585
NP_003460,SCG2,617
NP_003461,USP7,1102
NP_003463,DEK,375
NP_003464,STAM,540
NP_003465,ADAM12,909
NP_003466,RASSF7,373
NP_003467,CSRP3,194
NP_003468,PDHX,501
NP_003469,CUL5,780
NP_003471,MFAP5,173
NP_003473,KMT2D,5537
NP_003476,GPR68,365
NP_003477,SLC7A5,507
NP_003479,AKAP1,903
NP_003480,NRIP1,1158
NP_003481,SYN3,580
NP_003482,NAA10,235
NP_003483,TMEM187,261
NP_003484,H3-4,136
NP_003486,H4C9,103
NP_003489,SNN,88
NP_003491,ACOX2,681
NP_003492,ACOX3,700
NP_003493,AXIN1,862
NP_003494,CDC7,574
NP_003496,FZD1,647
NP_003497,FZD6,706
NP_003498,FZD7,574
NP_003499,FZD9,591
NP_003500,H2AC13,130
NP_003501,H2AC15,130
NP_003502,H2AC16,130
NP_003503,H2AC6,130
NP_003504,H2AC4,130
NP_003505,H2AC17,130
NP_003507,H2AC18,130
NP_003508,H2AC20,129
NP_003509,H2BC8,126
NP_003510,H2BC13,126
NP_003511,H2BC15,126
NP_003512,H2BC14,126
NP_003513,H2BC7,126
NP_003514,H2BC6,126
NP_003515,H2BC9,126
NP_003516,H2BC10,126
NP_003517,H2BC4,126
NP_003518,H2BC17,126
NP_003519,H2BC21,126
NP_003520,H3C1,136
NP_003521,H3C4,136
NP_003522,H3C3,136
NP_003523,H3C6,136
NP_003524,H3C11,136
NP_003525,H3C8,136
NP_003526,H3C12,136
NP_003527,H3C10,136
NP_003528,H3C2,136
NP_003529,H4C1,103
NP_003530,H4C4,103
NP_003531,H4C6,103
NP_003532,H4C12,103
NP_003533,H4C3,103
NP_003534,H4C8,103
NP_003535,H4C2,103
NP_003536,H4C5,103
NP_003537,H4C13,103
NP_003538,H4C7,98
NP_003539,H4C14,103
NP_003540,HYAL3,417
NP_003541,MAD1L1,718
NP_003542,NME5,212
NP_003544,OR1E1,314
NP_003545,OR1E2,323
NP_003546,OR1G1,313
NP_003549,PIP5K1B,540
NP_003550,PIP4K2B,416
NP_003551,PLA2G6,806
NP_003552,PLA2G10,165
NP_003553,SLC25A11,314
NP_003554,SPOP,374
NP_003556,ULK1,1050
NP_003557,EEA1,1411
NP_003558,BCAR3,825
NP_003559,ANXA9,345
NP_003560,STX7,261
NP_003562,BFSP2,415
NP_003565,VAPA,294
NP_003566,ZNF282,671
NP_003567,STK24,443
NP_003568,UTF1,341
NP_003569,SOAT2,522
NP_003570,RAD54L,747
NP_003572,NCK2,380
NP_003573,DYRK3,588
NP_003575,DUSP11,377
NP_003576,DOC2B,412
NP_003577,DOC2A,400
NP_003578,DHX16,1041
NP_003579,CUL4B,913
NP_003583,CUL1,776
NP_003584,FOXN1,648
NP_003585,TTF2,1162
NP_003587,TPST1,370
NP_003588,KLF11,512
NP_003591,AURKA,403
NP_003592,SMARCA5,1052
NP_003593,FKBP6,327
NP_003595,IRS4,1257
NP_003599,GPR65,337
NP_003600,HIRIP3,556
NP_003601,RAE1,368
NP_003602,OFD1,1012
NP_003603,SEMA7A,666
NP_003604,CILP,1184
NP_003605,GALR3,368
NP_003607,GEMIN2,280
NP_003609,MAP4K3,894
NP_003610,PRSS12,875
NP_003611,PPM1D,605
NP_003616,PPFIA2,1257
NP_003617,PPFIA1,1202
NP_003618,SLC43A1,559
NP_003619,PKP4,1192
NP_003621,PEX3,373
NP_003622,PARG,976
NP_003623,CNTNAP1,1384
NP_003624,ENC1,589
NP_003625,NIPSNAP1,284
NP_003626,NDST2,883
NP_003628,ITGA10,1167
NP_003629,ITGA8,1063
NP_003631,ELP1,1332
NP_003632,IFITM1,125
NP_003633,HAT1,419
NP_003634,GCM1,436
NP_003636,SLC27A2,620
NP_003638,DGKE,567
NP_003641,CST7,145
NP_003642,YBX3,372
NP_003644,COPS3,423
NP_003645,CHST1,411
NP_003646,CBX4,560
NP_003647,CAMK1,370
NP_003649,BARX2,279
NP_003650,AGPS,658
NP_003651,PPFIA3,1194
NP_003653,PIR,290
NP_003654,CGGBP1,167
NP_003655,AP3B1,1094
NP_003656,FCN3,299
NP_003657,BLZF1,400
NP_003658,LGR5,907
NP_003661,BHLHE40,412
NP_003664,TCAP,167
NP_003666,PRPF18,342
NP_003667,DEGS1,323
NP_003668,DENR,198
NP_003669,THOC5,683
NP_003670,KMO,486
NP_003671,YARS1,528
NP_003672,PDXK,312
NP_003673,MADD,1647
NP_003674,RRP1,461
NP_003675,MKNK1,453
NP_003678,PDLIM4,330
NP_003680,AKR7A2,359
NP_003681,PRKRA,313
NP_003683,TMEFF1,380
NP_003684,SCARF1,830
NP_003686,LY6D,128
NP_003687,OR6A2,327
NP_003688,OR5F1,314
NP_003691,OR2D2,308
NP_003692,TNFSF11,317
NP_003694,NOP14,857
NP_003696,SLC25A12,678
NP_003698,RUVBL1,456
NP_003699,RDH16,317
NP_003700,KLF7,302
NP_003704,PLPP3,311
NP_003705,STC2,302
NP_003707,CADPS,1353
NP_003709,CDK13,1512
NP_003711,PSMG1,288
NP_003713,TP63,680
NP_003715,JRK,568
NP_003716,HSD17B6,317
NP_003717,SKAP1,359
NP_003719,UNC5C,931
NP_003721,RNASET2,256
NP_003722,SSNA1,119
NP_003723,EIF4EBP3,100
NP_003724,OASL,514
NP_003725,AOC3,763
NP_003726,PCDHGA12,932
NP_003727,PCDHGB4,923
NP_003728,DCHS1,3298
NP_003729,PTCH2,1203
NP_003730,AKR1C3,323
NP_003731,KCNK5,499
NP_003732,CHRD,955
NP_003733,ABCB11,1321
NP_003734,NCOA1,1441
NP_003736,SOCS1,211
NP_003737,DYNLL1,89
NP_003738,TNKS,1327
NP_003739,ALDH4A1,563
NP_003740,IRS2,1338
NP_003741,EIF3A,1382
NP_003742,EIF3B,814
NP_003743,EIF3C,913
NP_003744,EIF3D,548
NP_003745,EIF3F,357
NP_003746,EIF3G,320
NP_003747,EIF3H,352
NP_003748,EIF3I,325
NP_003749,EIF3J,258
NP_003752,VAMP8,100
NP_003753,VAMP4,141
NP_003755,STX11,287
NP_003756,STX10,249
NP_003757,BECN1,450
NP_003760,SRSF9,221
NP_003761,KRT37,449
NP_003762,KRT36,467
NP_003763,JRKL,524
NP_003764,HYAL2,473
NP_003765,GALNT4,578
NP_003766,S1PR4,384
NP_003767,MRPL40,206
NP_003769,B4GALT4,344
NP_003770,B4GALT3,393
NP_003773,B3GALT4,378
NP_003774,B3GALT2,422
NP_003775,SERPINB7,380
NP_003776,PAGE1,146
NP_003777,ABCC3,1527
NP_003778,NOL4,638
NP_003780,TRADD,312
NP_003782,MBTPS1,1052
NP_003783,EDF1,148
NP_003784,CTSF,484
NP_003785,SNX4,450
NP_003786,SNX3,162
NP_003787,URI1,535
NP_003789,CTNNAL1,734
NP_003791,RNGTT,597
NP_003792,GPAA1,621
NP_003793,MYH13,1938
NP_003794,MYOM1,1685
NP_003795,RIPK1,671
NP_003796,CRADD,199
NP_003797,HRK,91
NP_003798,TNFSF14,240
NP_003799,TNFSF13,250
NP_003800,TNFSF12,249
NP_003801,TNFSF10,281
NP_003802,TNFSF9,254
NP_003803,ADAM23,832
NP_003804,ADAM21,722
NP_003805,ADAM20,726
NP_003807,ADAM9,819
NP_003808,ADAM7,754
NP_003809,CDS2,445
NP_003811,TNFRSF14,283
NP_003812,RIPK2,540
NP_003814,TNFRSF6B,300
NP_003815,FADD,208
NP_003816,SNAP23,211
NP_003817,NAPG,312
NP_003818,NAPA,295
NP_003821,SIGLEC5,551
NP_003822,RIOK3,519
NP_003824,MATN4,581
NP_003826,RGS9,674
NP_003827,DLK1,383
NP_003828,FBP2,339
NP_003829,FPGT,607
NP_003830,TNFRSF11A,616
NP_003831,TNFRSF10D,386
NP_003832,TNFRSF10C,259
NP_003833,TNFRSF10B,440
NP_003835,TNFRSF10A,468
NP_003837,PEX11B,259
NP_003838,PEX11A,247
NP_003840,SUCLG1,346
NP_003841,SUCLA2,463
NP_003842,CREG1,220
NP_003844,IL18RAP,599
NP_003845,IL1RL2,575
NP_003846,IL18R1,541
NP_003848,GALR2,387
NP_003851,BANF1,89
NP_003852,DCAF5,942
NP_003853,FGF18,207
NP_003854,DPM2,84
NP_003855,SAP30,220
NP_003856,HESX1,185
NP_003858,FGF17,216
NP_003859,FGF16,207
NP_003860,CES2,559
NP_003861,IQGAP1,1657
NP_003864,NRP1,923
NP_003866,GMPS,693
NP_003867,TMEM11,192
NP_003868,SOCS2,198
NP_003869,GGH,318
NP_003870,CFLAR,480
NP_003871,CCN6,354
NP_003872,CCN5,250
NP_003873,CCN4,367
NP_003875,KAT2B,832
NP_003876,CDK5R1,307
NP_003877,AKAP4,854
NP_003878,ASAP2,1006
NP_003879,ALDH1A2,518
NP_003881,FCGBP,5405
NP_003886,SYNJ1,1612
NP_003887,ST3GAL5,418
NP_003888,IER3,156
NP_003889,SYNJ2,1496
NP_003891,SQSTM1,440
NP_003892,SGPL1,568
NP_003894,CDC16,620
NP_003895,ZPR1,459
NP_003897,MCM3AP,1980
NP_003898,EIF2B5,721
NP_003899,EIF2S2,333
NP_003900,CPNE3,537
NP_003901,BUD31,144
NP_003904,PRPF4B,1007
NP_003905,CCNA1,465
NP_003906,CPNE1,542
NP_003908,AP1G2,785
NP_003909,GYG2,501
NP_003911,TIMELESS,1208
NP_003912,BCL10,233
NP_003913,HERC1,4861
NP_003914,FOXH1,365
NP_003915,PHOX2B,314
NP_003916,MBD4,580
NP_003918,MBD2,411
NP_003920,RAB29,203
NP_003921,SKAP2,359
NP_003922,WASF1,559
NP_003923,ST13,369
NP_003924,BAIAP3,1187
NP_003925,FUBP3,572
NP_003926,TOP3B,862
NP_003927,CDK5R2,367
NP_003928,KYNU,465
NP_003931,USP13,863
NP_003932,WASL,505
NP_003933,RPS6KA4,772
NP_003934,STBD1,358
NP_003936,ATP6V0E1,81
NP_003941,F2RL3,385
NP_003943,RPS6KB2,482
NP_003944,MPZL1,269
NP_003945,MAP3K14,947
NP_003946,SOCS3,225
NP_003947,CH25H,272
NP_003949,RNF8,485
NP_003950,HIP1R,1068
NP_003951,NAT8,227
NP_003954,TM4SF5,197
NP_003957,SEMA5A,1074
NP_003958,TAAR5,337
NP_003959,UBA3,463
NP_003960,UBE2M,183
NP_003961,MYOM2,1465
NP_003963,BTAF1,1849
NP_003964,RPL14,215
NP_003965,DOK2,412
NP_003968,AIP,330
NP_003970,GPRC5A,357
NP_003972,PRC1,620
NP_003974,SLC7A6,515
NP_003977,BBOX1,387
NP_003981,PAX2,432
NP_003986,NPR2,1047
NP_003989,NFKB1,969
NP_003991,CHI3L2,390
NP_003992,FCGR2B,310
NP_003995,GJB2,226
NP_003997,DMD,3685
NP_004022,IRF7,516
NP_004025,ANXA7,488
NP_004026,ACOX1,660
NP_004028,AMPD2,825
NP_004029,AMY1A,511
NP_004031,RHOB,196
NP_004032,ARRB1,418
NP_004033,ARSF,590
NP_004034,ASMT,373
NP_004035,ATIC,592
NP_004036,ATOX1,68
NP_004037,ATP5F1A,553
NP_004039,B2M,119
NP_004040,BCL2A1,175
NP_004041,BCL2L2,193
NP_004042,BDH1,343
NP_004043,BNIP3,259
NP_004044,BYSL,437
NP_004045,C3AR1,482
NP_004046,CAPN5,640
NP_004047,CA8,290
NP_004048,S100G,79
NP_004049,CAPS,189
NP_004051,CCNG1,295
NP_004052,CDH12,794
NP_004053,CDH16,829
NP_004054,CDH17,832
NP_004055,CDKN1B,198
NP_004056,CDR1,262
NP_004057,CETN1,172
NP_004061,CLCNKA,687
NP_004064,PLK3,646
NP_004065,COX8A,69
NP_004066,CRY1,586
NP_004067,CRYBB3,211
NP_004068,CS,466
NP_004069,CSRP1,193
NP_004070,CTSS,331
NP_004072,DAZ1,744
NP_004073,DCTN1,1278
NP_004075,DEFA1,94
NP_004076,TIMM8A,97
NP_004078,DLG1,926
NP_004079,DNTT,509
NP_004081,DUSP3,185
NP_004082,E2F2,437
NP_004083,ECHS1,290
NP_004084,EFNB2,333
NP_004085,EIF2S1,315
NP_004086,EIF4EBP1,118
NP_004087,EIF4EBP2,120
NP_004088,EMX1,290
NP_004089,EMX2,252
NP_004090,STOM,288
NP_004092,F2RL2,374
NP_004094,PTK2B,1009
NP_004095,FASN,2511
NP_004097,FCER1G,86
NP_004098,FCGRT,365
NP_004099,FCN2,313
NP_004100,FDX1,184
NP_004102,FEN1,380
NP_004103,FGF11,225
NP_004107,FKBP1B,108
NP_004108,FKBP5,457
NP_004109,FOXS1,330
NP_004110,FLT3,993
NP_004111,GBP2,591
NP_004114,GIP,153
NP_004115,GMFB,142
NP_004116,DNAJC25-GNG10,153
NP_004117,GNG11,73
NP_004119,GTF2F2,249
NP_004121,GYG1,350
NP_004122,GZMB,247
NP_004123,HABP2,560
NP_004124,HNF4G,455
NP_004125,HSPA9,679
NP_004126,IDH3G,393
NP_004127,IREB2,963
NP_004128,KCNMB1,191
NP_004129,KRT33A,404
NP_004130,LBP,481
NP_004131,LLGL1,1064
NP_004136,MYO9B,2157
NP_004137,NDUFB7,137
NP_004138,DRG1,367
NP_004139,NINJ1,152
NP_004143,OAZ1,228
NP_004144,ORC1,861
NP_004146,SERPINB9,376
NP_004148,PRKAR2A,404
NP_004149,PSPN,156
NP_004151,PYY,97
NP_004152,RAB1A,205
NP_004153,RAB5A,215
NP_004154,RAB27B,218
NP_004155,RBP2,134
NP_004156,RRAD,308
NP_004159,SDHA,664
NP_004160,SHMT1,483
NP_004161,SLC1A1,524
NP_004162,SLC1A2,574
NP_004163,SLC1A3,542
NP_004164,SLC7A4,635
NP_004165,SLC9A3,834
NP_004166,SNRPD3,126
NP_004168,STX3,289
NP_004170,TPH1,444
NP_004171,TANK,425
NP_004172,UCHL1,223
NP_004175,WARS1,471
NP_004177,SEMA3F,785
NP_004178,KDM5C,1560
NP_004180,SOX14,240
NP_004183,ASMTL,621
NP_004184,GBF1,1859
NP_004187,CDKL1,358
NP_004189,CHRNA6,494
NP_004190,P4HA2,535
NP_004193,TMSB4Y,44
NP_004194,PKMYT1,499
NP_004196,USP2,605
NP_004198,SLC16A3,465
NP_004199,AIFM1,613
NP_004200,SYNGR3,229
NP_004201,NEURL1,574
NP_004202,SLC6A5,797
NP_004203,SLC28A2,658
NP_004204,SLC28A1,649
NP_004206,EBAG9,213
NP_004209,RAB11B,218
NP_004210,PTTG1,202
NP_004211,ZNF213,459
NP_004214,UBE2L6,153
NP_004215,GPR50,617
NP_004216,MFHAS1,1052
NP_004217,STK17B,372
NP_004218,CYTH3,399
NP_004220,MED14,1454
NP_004221,S1PR2,353
NP_004223,SOCS6,535
NP_004224,CD83,205
NP_004225,ZNF235,738
NP_004228,TRIP13,432
NP_004230,TRIP11,1979
NP_004235,CD163,1156
NP_004237,GLP2R,553
NP_004238,EFTUD2,972
NP_004239,PRLHR,370
NP_004242,RAB9A,201
NP_004243,SLC9A3R1,358
NP_004245,SLC22A8,542
NP_004246,COX5A,150
NP_004247,SLC22A13,551
NP_004248,TGFBRAP1,860
NP_004249,CD101,1021
NP_004250,RECQL5,991
NP_004251,RECQL4,1208
NP_004252,SELENOF,165
NP_004253,TMPRSS11D,418
NP_004254,SEMA4F,770
NP_004255,MED21,144
NP_004256,FADS2,444
NP_004258,CHST2,530
NP_004259,MED17,651
NP_004260,MED27,311
NP_004261,MED7,233
NP_004262,LY86,162
NP_004263,HOMER1,354
NP_004264,CHST3,479
NP_004265,AKAP6,2319
NP_004266,MED20,212
NP_004268,SLC25A27,323
NP_004269,PIGL,252
NP_004270,PMPCB,489
NP_004271,EEF1E1,174
NP_004272,BAG3,575
NP_004273,BAG2,211
NP_004274,RAB3D,219
NP_004275,CHD1L,897
NP_004277,GTPBP1,669
NP_004279,CYTIP,359
NP_004280,NFE2L3,694
NP_004281,RNF14,474
NP_004282,CARTPT,116
NP_004283,RIN1,783
NP_004285,MTRF1,445
NP_004286,TRAF4,470
NP_004288,GNA14,355
NP_004290,ABCB7,753
NP_004291,ACP1,158
NP_004292,ACTL6A,429
NP_004295,ALK,1620
NP_004298,APBB2,759
NP_004299,ARHGAP1,439
NP_004301,RHOH,191
NP_004302,ARL3,182
NP_004303,ARR3,388
NP_004305,ART1,327
NP_004306,ASAH1,411
NP_004307,ASCL1,236
NP_004308,GET3,348
NP_004309,ASPH,758
NP_004313,BAD,168
NP_004314,BAG1,345
NP_004317,BCL9,1426
NP_004318,BCR,1271
NP_004319,BCS1L,419
NP_004320,BMPR1A,532
NP_004322,BNIP3L,219
NP_004323,BPHL,291
NP_004325,BST1,318
NP_004326,BST2,180
NP_004327,BUB1,1085
NP_004330,PTTG1IP,180
NP_004332,CAD,2225
NP_004334,CALR,417
NP_004335,CETN2,172
NP_004336,CAMP,170
NP_004337,CASP3,277
NP_004343,CBLN1,193
NP_004345,CCNG2,344
NP_004347,CD81,236
NP_004348,CD151,253
NP_004350,CDC34,236
NP_004351,CDH1,882
NP_004352,CDH7,785
NP_004353,CLGN,610
NP_004354,CEACAM5,702
NP_004357,CLCN2,898
NP_004358,CCR6,374
NP_004360,COL6A3,3177
NP_004361,COL12A1,3063
NP_004364,COX6A1,109
NP_004365,COX6C,75
NP_004366,COX11,276
NP_004368,CPT1B,772
NP_004369,CRABP1,137
NP_004371,CREBBP,2442
NP_004372,ATF6B,703
NP_004374,CSK,450
NP_004376,VCAN,3396
NP_004377,NCAN,1321
NP_004378,NKX2-5,324
NP_004379,CTBS,385
NP_004381,CTSH,335
NP_004382,CYP8B1,501
NP_004384,DAG1,895
NP_004387,DDX5,614
NP_004388,DDX6,483
NP_004389,DDX10,875
NP_004392,DFFA,331
NP_004394,GSDME,496
NP_004396,DLX2,328
NP_004398,DMP1,513
NP_004399,DNM1,864
NP_004402,DYNC1I1,645
NP_004403,TRDMT1,391
NP_004404,DPEP1,411
NP_004406,DSP,2871
NP_004407,DTX1,620
NP_004408,DUSP1,367
NP_004409,DUSP2,314
NP_004410,DUSP5,384
NP_004411,DUSP8,625
NP_004413,DVL2,736
NP_004414,DVL3,716
NP_004415,E4F1,784
NP_004417,PHC1,1004
NP_004419,EFNA1,205
NP_004420,EFNB1,346
NP_004421,EGR3,387
NP_004422,EPHA2,976
NP_004424,ELF3,371
NP_004426,ENDOG,297
NP_004429,EPHA4,986
NP_004431,EPHA7,998
NP_004432,EPHB1,984
NP_004434,EPHB3,998
NP_004435,EPHB4,987
NP_004436,EPHB6,1022
NP_004437,EPRS1,1512
NP_004438,EPS8,822
NP_004439,ERBB2,1255
NP_004441,ERH,104
NP_004442,ESRRA,423
NP_004443,ESRRB,508
NP_004444,ETFDH,617
NP_004445,ETV5,510
NP_004446,EXTL1,676
NP_004447,EZH2,751
NP_004448,ACSL3,720
NP_004451,FAP,760
NP_004452,FARSA,508
NP_004454,FGD1,961
NP_004455,FGF5,268
NP_004456,FGF10,208
NP_004457,GPC5,572
NP_004458,FGL1,312
NP_004459,FHL3,280
NP_004460,VEGFD,354
NP_004463,FOXD1,465
NP_004464,FOXE1,373
NP_004465,FOXD2,495
NP_004466,FLOT2,428
NP_004467,FOLH1,750
NP_004468,FRG1,258
NP_004470,FUT7,342
NP_004472,GALNT2,571
NP_004473,GALNT3,633
NP_004474,GCSH,173
NP_004476,GNG4,75
NP_004479,GP5,560
NP_004480,GPS2,327
NP_004481,GRB14,540
NP_004482,ARHGAP35,1499
NP_004483,GTF2A2,109
NP_004484,HSD17B10,261
NP_004487,FOXA1,472
NP_004488,FOXA3,350
NP_004489,ONECUT1,465
NP_004493,HOXB7,217
NP_004494,HOXC6,235
NP_004496,USP6,1406
NP_004497,HSF2,536
NP_004498,HUS1,280
NP_004499,IDI1,284
NP_004505,FOXK2,660
NP_004506,ILF2,390
NP_004508,ILK,452
NP_004510,KCNQ3,872
NP_004512,KIF5B,963
NP_004513,KIF5C,957
NP_004514,KIF11,1056
NP_004516,LRP2,4655
NP_004517,MCM2,904
NP_004518,MEOX1,254
NP_004519,MGST3,152
NP_004520,MLLT3,568
NP_004521,MMP2,660
NP_004522,MOCS2,188
NP_004524,MYBPC2,1141
NP_004526,MYT1,1121
NP_004527,NAIP,1403
NP_004528,NAP1L1,391
NP_004529,NAP1L3,506
NP_004530,NARS1,548
NP_004532,NDUFA1,70
NP_004533,NDUFA3,84
NP_004536,NDUFB1,58
NP_004537,NDUFB2,105
NP_004538,NDUFB4,129
NP_004539,NDUFB10,172
NP_004540,NDUFC2,119
NP_004541,NDUFS2,463
NP_004542,NDUFS3,264
NP_004543,NDUFS5,106
NP_004544,NDUFS6,124
NP_004547,NFKBIE,361
NP_004548,NOTCH4,2003
NP_004549,NRTN,197
NP_004550,YBX1,324
NP_004551,ROR2,943
NP_004552,OVOL1,267
NP_004553,PRKN,465
NP_004554,PCK2,640
NP_004555,GATB,557
NP_004556,PEX14,377
NP_004560,PIGH,188
NP_004562,PKNOX1,436
NP_004563,PKP2,881
NP_004564,PLCB2,1185
NP_004566,POU4F2,409
NP_004568,PSPH,225
NP_004569,RAB4A,218
NP_004570,MAP4K2,820
NP_004571,RAB27A,221
NP_004572,RABGGTA,567
NP_004573,RABGGTB,331
NP_004575,RAD9A,391
NP_004576,PLAAT4,164
NP_004577,RPS6KA3,740
NP_004579,SCN2B,215
NP_004580,SCO1,301
NP_004581,CCL16,120
NP_004582,CCL20,96
NP_004584,TRA2B,288
NP_004585,SLC9A5,896
NP_004586,SMS,366
NP_004587,SNRPA,282
NP_004588,SNRPD2,118
NP_004589,SPOCK1,439
NP_004590,SREBF2,1141
NP_004591,RO60,538
NP_004594,STX1A,288
NP_004595,STX4,297
NP_004599,TBX6,436
NP_004600,TCF15,199
NP_004604,TGM2,687
NP_004605,TK2,265
NP_004606,TSPAN7,249
NP_004607,TSPAN8,237
NP_004608,TM4SF4,202
NP_004609,TOP3A,1001
NP_004611,TRAF6,522
NP_004612,TRPC6,931
NP_004613,TSN,228
NP_004614,TTC4,387
NP_004615,VIPR1,457
NP_004616,WNT7A,349
NP_004617,WNT11,354
NP_004618,GET1,174
NP_004619,XPC,940
NP_004620,FANCG,622
NP_004622,LRP8,963
NP_004623,DAP3,398
NP_004624,IL1R2,398
NP_004626,MAPKAPK3,382
NP_004628,RAB7A,207
NP_004629,PRRC2A,2157
NP_004630,BAG6,1132
NP_004631,DDX39B,428
NP_004633,CDK2AP1,115
NP_004634,PABPN1,306
NP_004636,COIL,576
NP_004637,NPHS1,1241
NP_004640,GATD3A,268
NP_004641,PNPLA4,253
NP_004645,USP9Y,2555
NP_004646,AXIN2,843
NP_004647,BAP1,729
NP_004648,CAVIN2,425
NP_004651,DDX3Y,660
NP_004652,CDC23,597
NP_004654,RAB11A,216
NP_004655,LIN7A,233
NP_004656,VNN2,520
NP_004657,VNN1,513
NP_004658,HERC2,4834
NP_004660,CLIC3,236
NP_004663,MAP3K6,1288
NP_004664,ANGPTL1,491
NP_004665,ASH2L,628
NP_004666,DIRAS3,229
NP_004667,PRY,147
NP_004668,XKRY,117
NP_004669,BPY2,106
NP_004670,VCY,125
NP_004671,CDY1,554
NP_004672,EIF1AY,144
NP_004674,RGN,299
NP_004675,SPARCL1,664
NP_004676,MTMR6,621
NP_004677,MTMR7,660
NP_004678,MTMR4,1195
NP_004679,NMI,307
NP_004680,MTA1,715
NP_004681,LATS1,1130
NP_004682,ATP6V0D1,351
NP_004684,KRT75,551
NP_004685,SLC16A6,523
NP_004686,SLC16A5,505
NP_004687,SLC16A4,487
NP_004688,PRPF4,522
NP_004689,PRPF3,683
NP_004690,FAM50A,339
NP_004691,KCNQ4,695
NP_004692,CCNB2,398
NP_004694,RABEP1,862
NP_004695,RRP9,475
NP_004696,THAP12,761
NP_004698,ATG12,140
NP_004699,PDCD5,125
NP_004702,SYNGR1,233
NP_004703,HGS,777
NP_004704,NEMF,1076
NP_004705,DYRK1B,629
NP_004706,CTDP1,961
NP_004707,PCSK7,785
NP_004708,DGKI,1065
NP_004709,COX7A2L,114
NP_004710,SCAF11,1463
NP_004711,LPAR2,351
NP_004712,MAP3K13,966
NP_004715,ZW10,779
NP_004716,BUB3,328
NP_004717,REPS2,660
NP_004718,SLC24A1,1099
NP_004719,DDX21,783
NP_004720,ZBED1,694
NP_004721,ETF1,437
NP_004722,SLC16A7,478
NP_004723,KCNAB3,404
NP_004724,SLC33A1,549
NP_004727,XPR1,696
NP_004728,LARGE1,756
NP_004729,VAPB,243
NP_004730,MTA2,668
NP_004731,TIAF1,115
NP_004735,LRAT,230
NP_004737,DLGAP1,977
NP_004738,DLG5,1919
NP_004741,CRLF1,422
NP_004742,GCNT3,438
NP_004743,GCM2,506
NP_004744,DHRS3,302
NP_004746,RPS6KA5,802
NP_004747,NUMBL,609
NP_004748,AIMP1,312
NP_004749,TSPOAP1,1857
NP_004751,STK17A,414
NP_004752,RGL2,777
NP_004754,ITGB1BP1,200
NP_004755,PIWIL1,861
NP_004757,COPB2,906
NP_004758,GPR37L1,481
NP_004761,KCNB2,911
NP_004762,MMP20,483
NP_004764,ZNHIT3,155
NP_004765,MED1,1581
NP_004766,B4GALT6,382
NP_004767,B4GALT5,388
NP_004769,PTGDR2,395
NP_004770,CNOT8,292
NP_004771,TCEAL1,159
NP_004772,VAMP3,100
NP_004773,SNAP29,258
NP_004775,NDST3,873
NP_004777,TXNL1,289
NP_004778,SLIT2,1529
NP_004779,UBE4A,1073
NP_004780,LHX2,406
NP_004781,SLC22A6,563
NP_004782,ITGBL1,494
NP_004783,PPIG,754
NP_004784,LONP1,959
NP_004785,RAB33A,237
NP_004786,KL,1012
NP_004788,ADIPOQ,244
NP_004789,KIF3B,747
NP_004790,ZFYVE9,1425
NP_004791,TM9SF2,663
NP_004794,SLC22A14,594
NP_004795,CIAO1,339
NP_004796,POLR2D,142
NP_004798,HS6ST1,411
NP_004799,NMT2,498
NP_004800,STOML1,398
NP_004801,GRAP2,330
NP_004805,SNRNP40,357
NP_004806,ARHGAP29,1261
NP_004809,DDX23,820
NP_004810,SYMPK,1274
NP_004811,CYP7B1,506
NP_004812,HAND1,215
NP_004813,NTN1,604
NP_004814,KCNK6,313
NP_004816,CDY2A,541
NP_004817,ECEL1,775
NP_004818,ABCG2,655
NP_004819,NCR2,276
NP_004820,NCR1,304
NP_004821,MED23,1368
NP_004822,MED26,600
NP_004823,GSTO1,241
NP_004824,AIM2,343
NP_004826,AGTR1,394
NP_004827,EIF2AK3,1116
NP_004828,GGPS1,300
NP_004829,HOMER3,361
NP_004831,ARHGEF6,776
NP_004834,IL27RA,636
NP_004835,SH3BP5,455
NP_004836,PCYT1B,369
NP_004837,EIF4E2,245
NP_004840,ATG5,275
NP_004841,ROCK2,1388
NP_004842,NAPSA,420
NP_004843,ONECUT2,504
NP_004844,STX8,236
NP_004845,CHST10,356
NP_004846,PIGB,554
NP_004848,AKAP5,427
NP_004851,FXR2,673
NP_004853,LITAF,161
NP_004854,SPTLC2,562
NP_004855,GDF15,308
NP_004856,TBPL1,186
NP_004857,SCAMP1,338
NP_004858,ITM2A,263
NP_004860,VPS4B,444
NP_004861,MPDU1,247
NP_004862,GOSR1,250
NP_004865,BAG4,457
NP_004868,GMFG,142
NP_004869,PTGES,152
NP_004870,EI24,340
NP_004872,TP53I3,332
NP_004873,CIR1,450
NP_004875,IGDCC3,814
NP_004876,NPFFR2,522
NP_004877,APBA3,575
NP_004878,CXCL14,99
